country,date,price,year,quarter
South Africa,1976-06-30,2.88,1976,2
Canada,1976-09-30,14.23,1976,3
Switzerland,1976-09-30,35.22,1976,3
United Kingdom,1976-09-30,6.28,1976,3
United States,1976-09-30,18.06,1976,3
South Africa,1976-09-30,2.88,1976,3
Canada,1976-12-31,14.76,1976,4
Switzerland,1976-12-31,36.3,1976,4
United Kingdom,1976-12-31,6.4,1976,4
United States,1976-12-31,18.75,1976,4
South Africa,1976-12-31,2.87,1976,4
Canada,1977-03-31,14.9,1977,1
Switzerland,1977-03-31,36.28,1977,1
United Kingdom,1977-03-31,6.4,1977,1
United States,1977-03-31,19.51,1977,1
South Africa,1977-03-31,2.88,1977,1
Canada,1977-06-30,14.95,1977,2
Switzerland,1977-06-30,36.62,1977,2
United Kingdom,1977-06-30,6.52,1977,2
United States,1977-06-30,20.36,1977,2
South Africa,1977-06-30,2.92,1977,2
Canada,1977-09-30,14.9,1977,3
Switzerland,1977-09-30,37.4,1977,3
United Kingdom,1977-09-30,6.71,1977,3
United States,1977-09-30,21.09,1977,3
South Africa,1977-09-30,2.92,1977,3
Canada,1977-12-31,15.32,1977,4
Switzerland,1977-12-31,37.28,1977,4
United Kingdom,1977-12-31,6.95,1977,4
United States,1977-12-31,21.79,1977,4
South Africa,1977-12-31,2.94,1977,4
Canada,1978-03-31,15.27,1978,1
Switzerland,1978-03-31,36.88,1978,1
United Kingdom,1978-03-31,7.07,1978,1
United States,1978-03-31,22.6,1978,1
South Africa,1978-03-31,2.97,1978,1
Canada,1978-06-30,15.71,1978,2
Switzerland,1978-06-30,37.8,1978,2
United Kingdom,1978-06-30,7.43,1978,2
United States,1978-06-30,23.41,1978,2
South Africa,1978-06-30,2.98,1978,2
Canada,1978-09-30,15.69,1978,3
Switzerland,1978-09-30,38.46,1978,3
United Kingdom,1978-09-30,7.91,1978,3
United States,1978-09-30,24.28,1978,3
South Africa,1978-09-30,3.04,1978,3
Canada,1978-12-31,16.43,1978,4
Switzerland,1978-12-31,39.63,1978,4
United Kingdom,1978-12-31,8.52,1978,4
United States,1978-12-31,25.13,1978,4
South Africa,1978-12-31,3.15,1978,4
Canada,1979-03-31,16.99,1979,1
Switzerland,1979-03-31,40.14,1979,1
United Kingdom,1979-03-31,8.94,1979,1
United States,1979-03-31,26.15,1979,1
South Africa,1979-03-31,3.22,1979,1
Canada,1979-06-30,17.36,1979,2
Switzerland,1979-06-30,40.15,1979,2
United Kingdom,1979-06-30,9.67,1979,2
United States,1979-06-30,27.28,1979,2
South Africa,1979-06-30,3.33,1979,2
Canada,1979-09-30,17.28,1979,3
Switzerland,1979-09-30,41.75,1979,3
United Kingdom,1979-09-30,10.39,1979,3
United States,1979-09-30,28.34,1979,3
South Africa,1979-09-30,3.47,1979,3
Canada,1979-12-31,18.04,1979,4
Switzerland,1979-12-31,43.01,1979,4
United Kingdom,1979-12-31,11.06,1979,4
New Zealand,1979-12-31,7.92,1979,4
United States,1979-12-31,29.32,1979,4
South Africa,1979-12-31,3.6,1979,4
Canada,1980-03-31,18.31,1980,1
Switzerland,1980-03-31,44.77,1980,1
United Kingdom,1980-03-31,11.54,1980,1
New Zealand,1980-03-31,8.09,1980,1
United States,1980-03-31,29.95,1980,1
South Africa,1980-03-31,3.74,1980,1
Canada,1980-06-30,19.05,1980,2
Switzerland,1980-06-30,44.04,1980,2
United Kingdom,1980-06-30,11.96,1980,2
New Zealand,1980-06-30,8.35,1980,2
United States,1980-06-30,30.5,1980,2
South Africa,1980-06-30,3.99,1980,2
Canada,1980-09-30,19.83,1980,3
Switzerland,1980-09-30,45.01,1980,3
United Kingdom,1980-09-30,12.45,1980,3
New Zealand,1980-09-30,8.62,1980,3
United States,1980-09-30,31.28,1980,3
South Africa,1980-09-30,4.36,1980,3
Canada,1980-12-31,21.09,1980,4
Switzerland,1980-12-31,45.86,1980,4
United Kingdom,1980-12-31,12.51,1980,4
New Zealand,1980-12-31,8.89,1980,4
United States,1980-12-31,31.94,1980,4
South Africa,1980-12-31,4.77,1980,4
Canada,1981-03-31,21.89,1981,1
Switzerland,1981-03-31,47.77,1981,1
United Kingdom,1981-03-31,12.51,1981,1
New Zealand,1981-03-31,9.26,1981,1
United States,1981-03-31,32.54,1981,1
South Africa,1981-03-31,5.18,1981,1
Canada,1981-06-30,22.06,1981,2
Switzerland,1981-06-30,49.13,1981,2
United Kingdom,1981-06-30,12.87,1981,2
New Zealand,1981-06-30,10.06,1981,2
United States,1981-06-30,33.0,1981,2
South Africa,1981-06-30,5.62,1981,2
Canada,1981-09-30,22.62,1981,3
Switzerland,1981-09-30,49.51,1981,3
United Kingdom,1981-09-30,13.05,1981,3
New Zealand,1981-09-30,10.82,1981,3
United States,1981-09-30,33.27,1981,3
South Africa,1981-09-30,6.07,1981,3
Canada,1981-12-31,22.94,1981,4
Switzerland,1981-12-31,50.32,1981,4
United Kingdom,1981-12-31,12.81,1981,4
New Zealand,1981-12-31,11.7,1981,4
United States,1981-12-31,33.6,1981,4
South Africa,1981-12-31,6.44,1981,4
Canada,1982-03-31,22.01,1982,1
Switzerland,1982-03-31,51.59,1982,1
United Kingdom,1982-03-31,12.51,1982,1
New Zealand,1982-03-31,12.7,1982,1
United States,1982-03-31,33.78,1982,1
South Africa,1982-03-31,6.7,1982,1
Canada,1982-06-30,21.09,1982,2
Switzerland,1982-06-30,51.13,1982,2
United Kingdom,1982-06-30,13.05,1982,2
New Zealand,1982-06-30,13.77,1982,2
United States,1982-06-30,33.83,1982,2
South Africa,1982-06-30,6.92,1982,2
Canada,1982-09-30,20.69,1982,3
Switzerland,1982-09-30,51.49,1982,3
United Kingdom,1982-09-30,13.35,1982,3
New Zealand,1982-09-30,14.08,1982,3
United States,1982-09-30,33.86,1982,3
South Africa,1982-09-30,7.11,1982,3
Canada,1982-12-31,21.13,1982,4
Switzerland,1982-12-31,52.26,1982,4
United Kingdom,1982-12-31,13.53,1982,4
New Zealand,1982-12-31,14.39,1982,4
United States,1982-12-31,34.06,1982,4
South Africa,1982-12-31,7.31,1982,4
Canada,1983-03-31,22.58,1983,1
Switzerland,1983-03-31,52.43,1983,1
United Kingdom,1983-03-31,13.96,1983,1
New Zealand,1983-03-31,14.59,1983,1
United States,1983-03-31,34.41,1983,1
South Africa,1983-03-31,7.74,1983,1
Canada,1983-06-30,22.57,1983,2
Switzerland,1983-06-30,53.24,1983,2
United Kingdom,1983-06-30,14.44,1983,2
New Zealand,1983-06-30,14.86,1983,2
United States,1983-06-30,34.87,1983,2
South Africa,1983-06-30,8.22,1983,2
Canada,1983-09-30,22.28,1983,3
